theta_Q,Q0,gamma,eta_N,eta_D,eta_Q,param_gain_dQ0.1
0.3610739310737608,1.0023487549959507,-0.0006435064481140239,-0.04823934053136867,-0.03831736119041251,-0.10131352236638146,0.37226388185721615
0.36605489745231057,0.9799818780220672,0.03776164390503863,-0.04836888363832141,-0.04000397701083389,-0.1029869517804211,0.3786082911839377
0.35602090854931356,1.0314057650669868,0.04357064273702675,-0.04806944985687059,-0.040263860533762914,-0.09954388224738692,0.36586760510563354
0.34319806500997757,1.0237393613961825,0.05717014621818992,-0.0482019253247867,-0.04085994833489222,-0.09622305352567159,0.3498143641885576
0.37464184338697,1.0016200633752168,0.04316085614627232,-0.04816541040722474,-0.04023872642312069,-0.10495943043112863,0.38963835210977993
0.3597191374704803,1.0005625753217198,0.03859374616192345,-0.04825969372866992,-0.040034992172941875,-0.10097596755143178,0.37054500978376326
0.3788646374966369,1.006694957908131,0.04422207516621722,-0.048103872142508726,-0.04029174859784478,-0.10600687350644988,0.3951059893436364
0.3685660263302045,0.9850777833705615,0.026334942938927953,-0.048318755284771614,-0.039519608587944025,-0.10358597469808871,0.38182169962134127
0.3563445351464148,0.9979163797817808,0.045278917501172466,-0.048297601242686915,-0.04032094687112045,-0.10010726190942897,0.36627606314392636
0.36756552976622175,0.9963099200964725,0.027726115524765185,-0.04824430934089819,-0.0395600353580052,-0.10314561947412096,0.38054019575003917
0.36343045352534553,0.9844204217280693,0.05651734673942628,-0.048351815105776574,-0.040782118716814066,-0.10221250134106458,0.37526056941726593
0.3756666781205591,0.9870019488638073,0.04203760784326124,-0.048265520392421865,-0.04018408243292295,-0.10546529847663383,0.3909626568798439
0.3717952679419523,1.004789019276143,0.038043716167821144,-0.048159249866631754,-0.040007049912360086,-0.10414861287917679,0.3859688226791964
0.3669508154685743,1.002370163456254,0.05611585974456828,-0.04820485513549313,-0.04081210065772366,-0.10288890794722004,0.3797536177023271
0.33920673390797573,1.0193151142279746,0.03526621368221252,-0.04825590619202785,-0.039890358845764445,-0.0952105029476243,0.3448691392877201
0.3775647839337075,0.9910154004716728,0.04706695040820101,-0.04822567527770863,-0.04040705911553104,-0.10591067018478521,0.3934198839445979
0.3561296565602295,1.0071161724600906,0.042233940470905736,-0.04823541704973369,-0.040193845272328256,-0.09991808391947679,0.3660048407083851
0.33763121675755065,1.0399863845435207,0.04650522520566164,-0.048130919032013095,-0.04039435642673452,-0.09452281929715653,0.34292376992684104
0.36370450863316967,1.023709284187948,0.03132524998854496,-0.048074305271640326,-0.03968760745759885,-0.10170249800698408,0.3756096424299018
0.37634189980606,0.9715906152028514,0.0520574376972401,-0.04837428495544567,-0.040591570744185915,-0.10589295067230034,0.391836111405756
0.3600974293571676,0.9948789293938892,0.04252899607404194,-0.04829713080843478,-0.04020380875144023,-0.10116057072687264,0.37102467093268987
0.3775801413415099,0.9948996126295653,0.041591478686558325,-0.048197262997203234,-0.04016680896262696,-0.10585257800864557,0.3934397888657841
0.3836481518021815,0.986200649735652,0.028441695569699044,-0.04822715983277681,-0.03958731531063077,-0.10762042809625313,0.40133452148879334
0.3642274258502975,0.9965035631311621,0.030215717299757094,-0.048262081595248134,-0.03967221748377417,-0.10224653812199236,0.37627602876816035
0.3668352038875907,0.9928297033211377,0.05012013269472929,-0.048273203091414724,-0.04053205347694948,-0.1030023283267411,0.37960575016993126
0.35809117584121675,1.0036692641333418,0.048355275063620196,-0.048247636667378996,-0.04046019153172598,-0.10049387265402039,0.3684833743214182
0.36944250501181697,1.0107190953322973,0.04428375825605306,-0.048130864666772064,-0.04029237506438672,-0.10342855152229774,0.3829456631702637
0.34675227381797696,1.0164199107959744,0.04634367110598185,-0.04822872585477421,-0.040374834928080916,-0.09727360798262184,0.35423852895320485
0.36214348280760694,0.9991137658282095,0.05194205913534143,-0.04825574628854787,-0.04061465580759034,-0.10164818512199819,0.373622898954467
0.3440864939069196,1.0189793689685005,0.027454496946969064,-0.04822800746592333,-0.03954408959063479,-0.0965243451557522,0.3509184342572256
0.3619062082455107,1.0089448105550107,0.06926525330348575,-0.048188369838267096,-0.041406038014108325,-0.10143975379838037,0.3733212523739424
0.3553056209304627,0.9985428667922013,0.023715176138509358,-0.0482992859866692,-0.039402768007962476,-0.09981888332912063,0.3649654012231949
0.38052165422232026,0.9633251807026669,0.06584423721223019,-0.04841340028044327,-0.04113804079739693,-0.1071556020242445,0.3972593553259456
0.3851206185752179,0.9804098314747078,0.04854268481533181,-0.04826214201653326,-0.04046593427249044,-0.10811184581937525,0.40325929398678784
0.3722394209507059,0.9999077466271119,0.018330592088871143,-0.048191680384781777,-0.03912710108040787,-0.10434324823026037,0.3865405261214523
0.3823389480506628,0.9706721910725697,0.0604372795443831,-0.04834945531408584,-0.04094586665082049,-0.10752514706940347,0.39962613233175803
0.36423063762025837,1.0059989208541633,0.03818893149073034,-0.04819521807318393,-0.040014997883420715,-0.102105783517663,0.37628012306530856
0.34725655093986296,1.0320129443120465,0.021865439479262613,-0.048121225895577616,-0.03925965871817558,-0.09719793725330708,0.3548678101592637
0.36113449313600987,1.0003114112821887,0.062385116393603356,-0.048253217278037656,-0.041069365266435585,-0.10135966463381559,0.37234078640972523
0.362753158268728,1.0056001598822688,0.06420375499089832,-0.0482067388689538,-0.04117065597807465,-0.10171590644298847,0.37439838515402535
0.3535410586225729,1.0012028864092122,0.037675239640973406,-0.048291269356761056,-0.03999668678004537,-0.09930666508004776,0.3627431423572691
0.3797210170122572,0.9810083928882848,0.043181081674335896,-0.0482870607154048,-0.040232212002221615,-0.10665109630592065,0.3962183364535756
0.3694699316096725,0.9866334581264171,0.04787400988389901,-0.04830261092817381,-0.040430739151305746,-0.1038053232567921,0.38298085377906244
0.36493889320265943,0.9920129627337958,0.003337718827471645,-0.04828973272772914,-0.03852830243679809,-0.10250495769350032,0.3771833912456102
0.3727116310057499,1.002494340995889,0.03146390762669682,-0.04817035236288866,-0.039710571795207504,-0.10442937706217853,0.38714869056762824
0.35055242364533495,1.002636360431898,0.03895026861670517,-0.04829897678794768,-0.04005134530251303,-0.09848289868707236,0.35899035380210487
0.362462298692304,1.0117597194058183,0.03914766156215672,-0.048165378638723624,-0.04005722697653565,-0.10154714963752803,0.37402834862840106
0.3752181425972384,0.9784996877156312,0.0685158972833957,-0.04832985176931958,-0.041292795498722175,-0.10547977892226802,0.39038284543279955
0.37686681471916317,0.989455181295714,0.00523300070051138,-0.04824096873334719,-0.0385756426509569,-0.10574840747851037,0.3925156396464631
0.35329334791566824,1.0112558654799662,0.049676395682511275,-0.0482239851378907,-0.04052227619303572,-0.09909881824018908,0.36243156797514686
0.37390919013680984,0.9975312958090546,0.05713402719282752,-0.04819916537726036,-0.04085927289067709,-0.10482758388069849,0.38869264351920463
0.36376980698573963,1.007744651456659,0.06635242908264274,-0.04818568467916496,-0.04127702701857465,-0.10195642581464223,0.37569283260511255
0.3446874293098074,1.0310279012354893,0.02783599427788118,-0.048144182926703756,-0.03954049075838457,-0.09652486081076232,0.35166591601896036
0.39061919152215047,0.9828051454250036,0.04383522647551482,-0.04821423831062216,-0.04026561012777013,-0.10954657541477726,0.4104782886711251
0.3655707263811927,1.0024748063553692,0.04962463081480515,-0.048212175088691404,-0.04052222492893716,-0.10251751140800265,0.377989865262252
0.3877001659533628,0.9812126353703392,0.03645426742660566,-0.04824212644451809,-0.03994096204633689,-0.10879084449560825,0.4066397630798688
0.3528405999525553,1.0391499943957156,0.03778602857764629,-0.048037243471481486,-0.03998976726629568,-0.09858856574178587,0.36186234117155913
0.3386994519199097,1.0255925162001653,0.043415073579865585,-0.04821793012834757,-0.04024677257810927,-0.09499330013439834,0.34424236105070016
0.35487830257460107,1.0013259183223846,0.00533648655292462,-0.04828261972864584,-0.038608870271619376,-0.09966443102635975,0.364426798642953
0.3723808492632623,0.9735579127349121,0.0614673844740086,-0.04838095929780609,-0.04097535187659363,-0.10479286930743778,0.3867226356916733
0.33964083867223277,1.0395498204172913,0.041139757074527425,-0.04812062333007561,-0.04014824397537227,-0.09506509081330626,0.34540581352459077
0.37090398905336114,0.9862335088080055,0.03388969092226667,-0.04829751835391964,-0.03983569715403802,-0.1041972456151604,0.3848225417270601
0.36749394989287104,1.0013990338742869,0.04194310524120725,-0.04820857537459139,-0.040182076205471956,-0.10304914903742621,0.3804485724462281
